pitcher,player,outs,bases,score,play,li,re,we,wpa,re24,halfinning,inning,gamenum,fgabnum,matchedabnum
J Machi,B Butler,0,___,Aug-00,Billy Butler flied out to right (Fliner (Fly)).,0.02,0.45,0.992,-0.001,-0.21,bottom,4,6,40,39
J Machi,A Gordon,1,___,Aug-00,Alex Gordon struck out looking.,0.02,0.23,0.992,0,-0.14,bottom,4,6,41,40
J Machi,S Perez,2,___,Aug-00,Salvador Perez singled to third (Grounder).,0.01,0.09,0.992,0,0.12,bottom,4,6,42,41
J Machi,M Moustakas,2,1__,Aug-00,Mike Moustakas flied out to center (Fly).,0.02,0.21,0.991,-0.001,-0.21,bottom,4,6,43,42
Y Ventura,T Ishikawa,0,___,Aug-00,Travis Ishikawa struck out looking.,0.09,0.45,0.994,-0.002,-0.21,top,5,6,44,43
Y Ventura,B Crawford,1,___,Aug-00,Brandon Crawford grounded out to first (Grounder).,0.05,0.23,0.995,-0.001,-0.14,top,5,6,45,44
Y Ventura,G Blanco,2,___,Aug-00,Gregor Blanco grounded out to first (Grounder).,0.02,0.09,0.995,-0.001,-0.09,top,5,6,46,45
J Machi,O Infante,0,___,Aug-00,Omar Infante singled to left (Grounder).,0.02,0.45,0.996,0.001,0.37,bottom,5,6,47,46
J Machi,A Escobar,0,1__,Sep-00,Alcides Escobar doubled to left (Fliner (Liner)). Omar Infante scored.,0.03,0.81,0.998,0.002,1.24,bottom,5,6,48,47
J Machi,N Aoki,0,_2_,Sep-00,Nori Aoki grounded out to second (Grounder). Alcides Escobar advanced to 3B.,0.01,1.05,0.998,0,-0.15,bottom,5,6,49,48
J Machi,L Cain,1,__3,Sep-00,Lorenzo Cain grounded out to shortstop (Grounder).,0.01,0.9,0.998,-0.001,-0.56,bottom,5,6,50,49
J Machi,E Hosmer,2,__3,Sep-00,Eric Hosmer struck out swinging.,0.01,0.34,0.997,0,-0.34,bottom,5,6,51,50
Y Ventura,J Panik,0,___,Sep-00,Joe Panik flied out to right (Fly).,0.04,0.45,0.998,-0.001,-0.21,top,6,6,52,51
